videoId,title,trainee_name,publishedAt,views,likes,comments,url
6eXW3vNlhf8,[BOYS ll PLANET/4회 직캠] 쑨지아양 SUN JIA YANG ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,쑨지아양 SUN JIA YANG,2025-08-04T11:35:29Z,237924,10990,1196,https://www.youtube.com/watch?v=6eXW3vNlhf8
dnRlHl2wKvw,[BOYS ll PLANET/4회 직캠] 방준혁 BANG JUN HYUK ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,방준혁 BANG JUN HYUK,2025-08-04T11:35:07Z,48631,3142,471,https://www.youtube.com/watch?v=dnRlHl2wKvw
hfer1acos3Q,[BOYS ll PLANET/4회 직캠] 유메키 YUMEKI ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,유메키 YUMEKI,2025-08-04T11:34:48Z,1009087,53731,7203,https://www.youtube.com/watch?v=hfer1acos3Q
M7pLgwtPh6s,[BOYS ll PLANET/4회 직캠] 판저이 FAN ZHE YI ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,판저이 FAN ZHE YI,2025-08-04T11:35:12Z,89700,6817,818,https://www.youtube.com/watch?v=M7pLgwtPh6s
IjMO54OGEW4,[BOYS ll PLANET/4회 직캠] 조우안신 ZHOU AN XIN ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,조우안신 ZHOU AN XIN,2025-08-04T11:34:51Z,690069,51000,6997,https://www.youtube.com/watch?v=IjMO54OGEW4
um-CwDseeTo,[BOYS ll PLANET/4회 직캠] 렌쇼 RENSHO ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,렌쇼 RENSHO,2025-08-04T11:35:27Z,63795,2764,286,https://www.youtube.com/watch?v=um-CwDseeTo
fIk2XvR2w2M,[BOYS ll PLANET/4회 직캠] 김건우 KIM GEON WOO ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,김건우 KIM GEON WOO,2025-08-04T11:34:33Z,408176,22406,6018,https://www.youtube.com/watch?v=fIk2XvR2w2M
qDR46tsekT8,[BOYS ll PLANET/4회 직캠] 이승백 LEE SEUNG BAEK ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,이승백 LEE SEUNG BAEK,2025-08-04T11:35:21Z,18822,664,112,https://www.youtube.com/watch?v=qDR46tsekT8
4m1rcjdjns0,[BOYS ll PLANET/4회 직캠] 쉬칭위 HSU CHING YU ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,쉬칭위 HSU CHING YU,2025-08-04T11:34:29Z,233231,20617,1949,https://www.youtube.com/watch?v=4m1rcjdjns0
fBFMcTu62Ro,[BOYS ll PLANET/4회 직캠] 김다니엘 KIM DANIEL ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,김다니엘 KIM DANIEL,2025-08-04T11:35:16Z,55647,2481,402,https://www.youtube.com/watch?v=fBFMcTu62Ro
f5KG8b8PeRU,[BOYS ll PLANET/4회 직캠] 김재현 KIM JAE HYUN ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,김재현 KIM JAE HYUN,2025-08-04T11:35:18Z,98458,6279,669,https://www.youtube.com/watch?v=f5KG8b8PeRU
zkFfkUNCHqA,[BOYS ll PLANET/4회 직캠] 이상원 LEE SANG WON ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,이상원 LEE SANG WON,2025-08-04T11:34:42Z,2029347,135279,16034,https://www.youtube.com/watch?v=zkFfkUNCHqA
skHA4edV7tA,[BOYS ll PLANET/4회 직캠] 펑진위 PENG JIN YU ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,펑진위 PENG JIN YU,2025-08-04T11:35:24Z,63466,4095,894,https://www.youtube.com/watch?v=skHA4edV7tA
_czc_slWvT0,[BOYS ll PLANET/4회 직캠] 김준서 KIM JUN SEO ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,김준서 KIM JUN SEO,2025-08-04T11:34:37Z,382642,32194,3176,https://www.youtube.com/watch?v=_czc_slWvT0
xuy7aELIndk,[BOYS ll PLANET/4회 직캠] 이리오 LEE LEO ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,이리오 LEE LEO,2025-08-04T11:34:40Z,720351,66192,8877,https://www.youtube.com/watch?v=xuy7aELIndk
pct7yVcld58,[BOYS ll PLANET/4회 직캠] 윤민 YOON MIN ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,윤민 YOON MIN,2025-08-04T11:34:45Z,69989,5391,652,https://www.youtube.com/watch?v=pct7yVcld58
0EbhM-RrtK0,[BOYS ll PLANET/4회 직캠] 김현서 KIM HYEON SEO ♬KILL THE ROMEO - ZEROBASEONE @1vs1 계급 배틀,김현서 KIM HYEON SEO,2025-08-04T11:33:03Z,12862,442,109,https://www.youtube.com/watch?v=0EbhM-RrtK0
BBrq5n9MMpw,[BOYS ll PLANET/4회 직캠] 문원준 MUHN WON JUN ♬Rising Sun (순수) - 동방신기 (TVXQ!) @1vs1 계급 배틀,문원준 MUHN WON JUN,2025-08-04T11:33:33Z,40275,3415,704,https://www.youtube.com/watch?v=BBrq5n9MMpw
NxlXMdwO_Fg,[BOYS ll PLANET/4회 직캠] 박준일 PARK JUN IL ♬Rising Sun (순수) - 동방신기 (TVXQ!) @1vs1 계급 배틀,박준일 PARK JUN IL,2025-08-04T11:33:44Z,145537,13167,1979,https://www.youtube.com/watch?v=NxlXMdwO_Fg
JYpMUV2mfdY,[BOYS ll PLANET/4회 직캠] 크리센 양 CHRISEN YANG ♬KILL THE ROMEO - ZEROBASEONE @1vs1 계급 배틀,크리센 양 CHRISEN YANG,2025-08-04T11:32:43Z,60664,8251,420,https://www.youtube.com/watch?v=JYpMUV2mfdY
YYowgJSZBss,[BOYS ll PLANET/4회 직캠] 홍쯔하오 HONG ZIH HAO ♬KILL THE ROMEO - ZEROBASEONE @1vs1 계급 배틀,홍쯔하오 HONG ZIH HAO,2025-08-04T11:32:57Z,18899,1469,166,https://www.youtube.com/watch?v=YYowgJSZBss
5cX0rCXrxDQ,[BOYS ll PLANET/4회 직캠] 당홍하이 DANG HONG HAI ♬Rising Sun (순수) - 동방신기 (TVXQ!) @1vs1 계급 배틀,당홍하이 DANG HONG HAI,2025-08-04T11:33:17Z,84966,9753,1219,https://www.youtube.com/watch?v=5cX0rCXrxDQ
4IQZpHLV9_U,[BOYS ll PLANET/4회 직캠] 김동윤 KIM DONG YUN ♬Rising Sun (순수) - 동방신기 (TVXQ!) @1vs1 계급 배틀,김동윤 KIM DONG YUN,2025-08-04T11:34:11Z,37310,3317,514,https://www.youtube.com/watch?v=4IQZpHLV9_U
rCvkb23P0ws,[BOYS ll PLANET/4회 직캠] 마사토 MASATO ♬Rising Sun (순수) - 동방신기 (TVXQ!) @1vs1 계급 배틀,마사토 MASATO,2025-08-04T11:33:27Z,228461,16120,1595,https://www.youtube.com/watch?v=rCvkb23P0ws
9jJq-39La2E,[BOYS ll PLANET/4회 직캠] 허중싱 HE ZHONG XING ♬KILL THE ROMEO - ZEROBASEONE @1vs1 계급 배틀,허중싱 HE ZHONG XING,2025-08-04T11:32:54Z,219737,12230,2739,https://www.youtube.com/watch?v=9jJq-39La2E
sfwAi_G2NkY,[BOYS ll PLANET/4회 직캠] 타이가 TAIGA ♬Rising Sun (순수) - 동방신기 (TVXQ!) @1vs1 계급 배틀,타이가 TAIGA,2025-08-04T11:34:13Z,31300,1918,231,https://www.youtube.com/watch?v=sfwAi_G2NkY
hh2m0kjYTqc,[BOYS ll PLANET/4회 직캠] 아오시 AOSHI ♬Rising Sun (순수) - 동방신기 (TVXQ!) @1vs1 계급 배틀,아오시 AOSHI,2025-08-04T11:33:56Z,22746,1329,210,https://www.youtube.com/watch?v=hh2m0kjYTqc
CUvdXd9hlLI,[BOYS ll PLANET/4회 직캠] 궈쩐 GUO ZHEN ♬KILL THE ROMEO - ZEROBASEONE @1vs1 계급 배틀,궈쩐 GUO ZHEN,2025-08-04T11:32:51Z,15796,807,304,https://www.youtube.com/watch?v=CUvdXd9hlLI
bSVIiG69Fk8,[BOYS ll PLANET/4회 직캠] 유센 YUSEN ♬Rising Sun (순수) - 동방신기 (TVXQ!) @1vs1 계급 배틀,유센 YUSEN,2025-08-04T11:34:23Z,127744,2779,563,https://www.youtube.com/watch?v=bSVIiG69Fk8
y82VBsbL0Ic,[BOYS ll PLANET/4회 직캠] 쇼우 SHO ♬KILL THE ROMEO - ZEROBASEONE @1vs1 계급 배틀,쇼우 SHO,2025-08-04T11:33:06Z,90017,855,647,https://www.youtube.com/watch?v=y82VBsbL0Ic
HDMtYviT8rU,[BOYS ll PLANET/4회 직캠] 염예찬 YEOM YE CHAN ♬Rising Sun (순수) - 동방신기 (TVXQ!) @1vs1 계급 배틀,염예찬 YEOM YE CHAN,2025-08-04T11:34:16Z,45794,4180,477,https://www.youtube.com/watch?v=HDMtYviT8rU
tHeo4F76KFU,[BOYS ll PLANET/4회 직캠] 비엔스위 BIAN SHI YU ♬Rising Sun (순수) - 동방신기 (TVXQ!) @1vs1 계급 배틀,비엔스위 BIAN SHI YU,2025-08-04T11:33:59Z,8838,287,53,https://www.youtube.com/watch?v=tHeo4F76KFU
Csmftq5Q_ic,[BOYS ll PLANET/4회 직캠] 한해리준 HAN HARRY JUNE ♬Rising Sun (순수) - 동방신기 (TVXQ!) @1vs1 계급 배틀,한해리준 HAN HARRY JUNE,2025-08-04T11:33:20Z,76401,6824,881,https://www.youtube.com/watch?v=Csmftq5Q_ic
U9NHqRJ7MUQ,[BOYS ll PLANET/4회 직캠] 양희찬 YANG HEUI CHAN ♬KILL THE ROMEO - ZEROBASEONE @1vs1 계급 배틀,양희찬 YANG HEUI CHAN,2025-08-04T11:32:20Z,29665,2023,309,https://www.youtube.com/watch?v=U9NHqRJ7MUQ
IRu5Ikd_LnI,[BOYS ll PLANET/4회 직캠] 앤드류 ANDREW ♬Rising Sun (순수) - 동방신기 (TVXQ!) @1vs1 계급 배틀,앤드류 ANDREW,2025-08-04T11:33:14Z,78118,11135,1474,https://www.youtube.com/watch?v=IRu5Ikd_LnI
-Q2AeH3WMKo,[BOYS ll PLANET/4회 직캠] 지앙판 JIANG FAN ♬Rising Sun (순수) - 동방신기 (TVXQ!) @1vs1 계급 배틀,지앙판 JIANG FAN,2025-08-04T11:34:06Z,29726,3245,686,https://www.youtube.com/watch?v=-Q2AeH3WMKo
PkXhgfkY4Y0,[BOYS ll PLANET/4회 직캠] 김동현A KIM DONG HYUN A ♬KILL THE ROMEO - ZEROBASEONE @1vs1 계급 배틀,김동현A KIM DONG HYUN A,2025-08-04T11:33:01Z,11838,561,62,https://www.youtube.com/watch?v=PkXhgfkY4Y0
RuOTm4CtTUU,[BOYS ll PLANET/4회 직캠] 이동헌 LEE DONG HEON ♬Rising Sun (순수) - 동방신기 (TVXQ!) @1vs1 계급 배틀,이동헌 LEE DONG HEON,2025-08-04T11:33:25Z,40883,3222,360,https://www.youtube.com/watch?v=RuOTm4CtTUU
-ykCaAX8pwM,[BOYS ll PLANET/4회 직캠] 쑨헝위 SUN HENG YU ♬Rising Sun (순수) - 동방신기 (TVXQ!) @1vs1 계급 배틀,쑨헝위 SUN HENG YU,2025-08-04T11:33:47Z,275326,19340,2494,https://www.youtube.com/watch?v=-ykCaAX8pwM
3fnrwds7h7c,[BOYS ll PLANET/4회 직캠] 장태윤 JANG TAE YOON ♬Rising Sun (순수) - 동방신기 (TVXQ!) @1vs1 계급 배틀,장태윤 JANG TAE YOON,2025-08-04T11:34:03Z,47324,10446,212,https://www.youtube.com/watch?v=3fnrwds7h7c
K6gJzu0PVUA,[BOYS ll PLANET/4회 직캠] 장슌위 ZHANG SHUN YU ♬KILL THE ROMEO - ZEROBASEONE @1vs1 계급 배틀,장슌위 ZHANG SHUN YU,2025-08-04T11:32:23Z,23615,1750,172,https://www.youtube.com/watch?v=K6gJzu0PVUA
SCl2IzyRk0o,[BOYS ll PLANET/4회 직캠] 동징쿤 DONG JING KUN ♬KILL THE ROMEO - ZEROBASEONE @1vs1 계급 배틀,동징쿤 DONG JING KUN,2025-08-04T11:32:46Z,8105,459,69,https://www.youtube.com/watch?v=SCl2IzyRk0o
SWYbv9GY6Ts,[BOYS ll PLANET/4회 직캠] 전이정 JUN LEE JEONG ♬첫 만남은 계획대로 되지 않아 - TWS @1vs1 계급 배틀,전이정 JUN LEE JEONG,2025-08-04T11:30:51Z,111820,9334,1410,https://www.youtube.com/watch?v=SWYbv9GY6Ts
Zs7ssp7azqI,[BOYS ll PLANET/4회 직캠] 강우진 KANG WOO JIN ♬첫 만남은 계획대로 되지 않아 - TWS @1vs1 계급 배틀,강우진 KANG WOO JIN,2025-08-04T11:30:53Z,254429,27769,4184,https://www.youtube.com/watch?v=Zs7ssp7azqI
hIKzL5XwAOE,[BOYS ll PLANET/4회 직캠] 타츠키 TATSUKI ♬KILL THE ROMEO - ZEROBASEONE @1vs1 계급 배틀,타츠키 TATSUKI,2025-08-04T11:31:57Z,64982,4728,661,https://www.youtube.com/watch?v=hIKzL5XwAOE
vy3Jq0iq178,[BOYS ll PLANET/4회 직캠] 센 SEN ♬KILL THE ROMEO - ZEROBASEONE @1vs1 계급 배틀,센 SEN,2025-08-04T11:31:55Z,120356,9325,1033,https://www.youtube.com/watch?v=vy3Jq0iq178
O_4hSdW0qFM,[BOYS ll PLANET/4회 직캠] 리즈하오 LI ZI HAO ♬KILL THE ROMEO - ZEROBASEONE @1vs1 계급 배틀,리즈하오 LI ZI HAO,2025-08-04T11:31:32Z,78227,5104,643,https://www.youtube.com/watch?v=O_4hSdW0qFM
rlrM1_TEaCY,[BOYS ll PLANET/4회 직캠] 장한음 JANG HAN EUM ♬첫 만남은 계획대로 되지 않아 - TWS @1vs1 계급 배틀,장한음 JANG HAN EUM,2025-08-04T11:30:43Z,185109,13543,1824,https://www.youtube.com/watch?v=rlrM1_TEaCY
Y5DEtLE1AFE,[BOYS ll PLANET/4회 직캠] 정상현 CHUNG SANG HYEON ♬첫 만남은 계획대로 되지 않아 - TWS @1vs1 계급 배틀,정상현 CHUNG SANG HYEON,2025-08-04T11:30:36Z,382408,31554,2732,https://www.youtube.com/watch?v=Y5DEtLE1AFE
4WVBO-wupKI,[BOYS ll PLANET/4회 직캠] 아틱 ARCTIC ♬첫 만남은 계획대로 되지 않아 - TWS @1vs1 계급 배틀,아틱 ARCTIC,2025-08-04T11:30:22Z,29552,2400,379,https://www.youtube.com/watch?v=4WVBO-wupKI
itg-3PBv1HE,[BOYS ll PLANET/4회 직캠] 이첸 YI CHEN ♬첫 만남은 계획대로 되지 않아 - TWS @1vs1 계급 배틀,이첸 YI CHEN,2025-08-04T11:31:00Z,88354,10497,1307,https://www.youtube.com/watch?v=itg-3PBv1HE
8mkPRRUZQBg,[BOYS ll PLANET/4회 직캠] 오준호 OH JUN HO ♬KILL THE ROMEO - ZEROBASEONE @1vs1 계급 배틀,오준호 OH JUN HO,2025-08-04T11:31:39Z,26808,2300,459,https://www.youtube.com/watch?v=8mkPRRUZQBg
ay3GFkTcBvk,[BOYS ll PLANET/4회 직캠] 최립우 CHUEI LI YU ♬첫 만남은 계획대로 되지 않아 - TWS @1vs1 계급 배틀,최립우 CHUEI LI YU,2025-08-04T11:30:33Z,340727,21329,3291,https://www.youtube.com/watch?v=ay3GFkTcBvk
ghTXekcRfYo,[BOYS ll PLANET/4회 직캠] 쉬에수런 XUE SU REN ♬KILL THE ROMEO - ZEROBASEONE @1vs1 계급 배틀,쉬에수런 XUE SU REN,2025-08-04T11:32:03Z,46332,4348,568,https://www.youtube.com/watch?v=ghTXekcRfYo
C41kxOIHl08,[BOYS ll PLANET/4회 직캠] 리온 REEONN ♬KILL THE ROMEO - ZEROBASEONE @1vs1 계급 배틀,리온 REEONN,2025-08-04T11:31:43Z,39953,3021,241,https://www.youtube.com/watch?v=C41kxOIHl08
ND9cEIJ7zIo,[BOYS ll PLANET/4회 직캠] 김동현B KIM DONG HYUN B ♬첫 만남은 계획대로 되지 않아 - TWS @1vs1 계급 배틀,김동현B KIM DONG HYUN B,2025-08-04T11:30:58Z,16331,949,190,https://www.youtube.com/watch?v=ND9cEIJ7zIo
